Nº,Project,TestClassName,No. Methods,Vocabulary,Word,Strings,Numeric Literals,Comments,Special,Non Whithe Characters,No. Method Invoctions,No. Field Access,No. Primitives,AST size,Max Depth,Avg Depth,Avg Depth Squared,Avg Depth Triple,Deg2,Deg3,DegPerm,Dexterity,No. Expressions,No. Try,No. Catch,No. Loop,No. Break,No. Continue,No. Conditions,No. Else,No. &&,No. ||,No. Ternary,Bad API,Junit,Hamcrest,Mockito
8187,checkstyle,AnotherInnerClass,0,3,3,2,0,0,7,54,0,0,0,0,4,0,0,0,23,63,21,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8188,checkstyle,SecondClassLongName,5,11,21,37,1,0,39,357,0,0,4,19,7,6.842105263157895,20.210526315789473,79.78947368421052,189,771,1177,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8189,checkstyle,InputClassFanOutComplexityExcludedPackagesDirectPackages,0,10,10,0,0,0,8,141,0,0,0,0,5,0,0,0,78,268,173,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8190,checkstyle,InputCommentsIndentationSurroundingCode,12,33,67,93,9,17,231,885,5,0,20,175,10,3.422857142857143,12.82857142857143,68.36,927,5879,2004316896,29,127,0,0,0,0,0,4,0,3,1,0,0,0,0,0
8191,checkstyle,InputPackageNameSimple,8,53,65,4,27,741,291,1682,0,0,46,98,8,4.6938775510204085,10.63265306122449,35.48979591836735,1658,21542,-286688023,26,106,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8192,checkstyle,JavadocPackageCheckTest,10,55,220,840,0,294,529,4247,60,0,9,503,11,2.5785288270377733,9.532803180914513,50.45924453280318,1806,8296,1932067357,29,385,1,1,0,0,0,0,0,0,0,0,0,1,0,1
8193,checkstyle,InputClassDataAbstractionCoupling,1,19,25,4,1,0,52,410,0,0,3,1,7,178,542,2182,298,1832,39917066,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8194,checkstyle,Java7NumericalLiteralsTest,2,17,20,75,0,45,48,460,3,0,1,34,9,3.4705882352941178,12.882352941176471,71.58823529411765,176,762,1656,21,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8195,checkstyle,InputRegexpHeaderConsecutiveNewLines,0,1,1,0,0,21,9,70,0,0,0,0,2,0,0,0,9,27,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8196,checkstyle,UncommentedMainCheck,16,76,237,57,4,1370,629,4488,55,1,19,391,13,3.2506393861892584,12.406649616368286,72.30434782608695,2406,25574,-1374848335,40,363,0,0,0,3,0,6,1,16,1,0,0,0,0,0
